Var1,C6H,C6R,C6K,C32H,C32R,C32K,CellType,Size,Polydispersity,Uptake,ACTN1,ACTN2,ACTN3,ACTN4,AGRIN,BDNF,CAV1,CAV2,CAV3,CD44,CFL2,COL4A1,COL6A1,COL6A2,COL9A2,CSF1,EGFR,ETS1,FGF1,FGF18,FGF6,FGF9,FGFR2,FLNA,FSCN1,FZD2,GNAI2,GNG12,IL7R,ITGA3,ITGA5,ITGA6,ITGB1,ITGB6,ITGB8,MET,MSN,MYH9,MYLK,NGF,NOTCH2,NOTCH3,OSMR,PDGFC,PLAU,RRAS,RRAS2,SDC4,TGFB1,THBS1,VEGFC,VIM,ZYX
27,60,0,0,0,40,0,OVCAR4,403,0.0819,19.25,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
28,80,0,0,0,20,0,OVCAR4,392,0.0363,8.25,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
29,0,20,0,0,80,0,OVCAR4,71.25,0.233,45.25,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
30,0,40,0,0,60,0,OVCAR4,223,0.02011,44,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
31,0,60,0,0,40,0,OVCAR4,87.9,0.08705,51.5,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
32,0,80,0,0,20,0,OVCAR4,108.5,0.0549,29.25,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
33,0,0,20,0,80,0,OVCAR4,72.75,0.322,62,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
34,0,0,40,0,60,0,OVCAR4,107.5,0.09265,70.5,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
35,0,0,60,0,40,0,OVCAR4,137.5,0.03325,75,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
36,0,0,80,0,20,0,OVCAR4,235,0.0329,81.5,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
37,20,0,0,80,0,0,OVCAR4,453.5,0.04635,2.25,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
38,40,0,0,60,0,0,OVCAR4,515,0.0149,1.25,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
39,60,0,0,40,0,0,OVCAR4,596.5,0.02962,2.25,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
40,80,0,0,20,0,0,OVCAR4,588,0.0232,1.75,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
41,0,20,0,80,0,0,OVCAR4,510.5,0.0312,16.5,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
42,0,40,0,60,0,0,OVCAR4,605,0.0179,47.75,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
43,0,60,0,40,0,0,OVCAR4,629.5,0.32,51.5,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
44,0,80,0,20,0,0,OVCAR4,274,0.0434,34.25,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
45,0,0,20,80,0,0,OVCAR4,310,0.0784,21,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
46,0,0,40,60,0,0,OVCAR4,362.5,0.0736,53.5,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
